название продукта;сылка на продукт;бренд;сылка на картинку;техт для проверки
LEGO City 60256 Конструктор ЛЕГО Город Turbo Wheels Гоночные автомобили;https://www.toy.ru/catalog/gorod/lego_city_60256_konstruktor_lego_gorod_turbo_wheels_gonochnye_avtomobili/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/68b/207_207_10240811ca8906714d1a9f41f2f5b358d/60256_boxprod_v29.jpg;LEGO City 60256 Конструктор ЛЕГО Город Turbo Wheels Гоночныеавтомобили
LEGO DUPLO 10915 Конструктор ЛЕГО ДУПЛО Грузовик Алфавит;https://www.toy.ru/catalog/duplo/lego_duplo_10915_konstruktor_lego_duplo_gruzovik_alfavit/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/021/207_207_10240811ca8906714d1a9f41f2f5b358d/10915_boxprod_v29.jpg;LEGO DUPLO 10915 Конструктор ЛЕГО ДУПЛО Грузовик Алфавит
LEGO DUPLO 10917 Конструктор ЛЕГО ДУПЛО Пожарная машина;https://www.toy.ru/catalog/duplo/lego_duplo_10917_konstruktor_lego_duplo_pozharnaya_mashina/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/905/207_207_10240811ca8906714d1a9f41f2f5b358d/10917_boxprod_v29.jpg;LEGO DUPLO 10917 Конструктор ЛЕГО ДУПЛО Пожарная машина
LEGO DUPLO 10929 Конструктор ЛЕГО ДУПЛО Модульный игрушечный дом;https://www.toy.ru/catalog/duplo/lego_duplo_10929_konstruktor_lego_duplo_modulnyy_igrushechnyy_dom/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/5d3/207_207_10240811ca8906714d1a9f41f2f5b358d/10929_boxprod_v29.jpg;LEGO DUPLO 10929 Конструктор ЛЕГО ДУПЛО Модульный игрушечныйдом
LEGO Star Wars 75263 Конструктор ЛЕГО Звездные войны Микрофайтеры: Истребитель Сопротивления типа Y;https://www.toy.ru/catalog/zvezdnye_voyny/lego_star_wars_75263_konstruktor_lego_zvezdnye_voyny_mikrofaytery_istrebitel_soprotivleniya_tipa_y/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/612/207_207_10240811ca8906714d1a9f41f2f5b358d/75263_boxprod_v29.jpg;LEGO Star Wars 75263 Конструктор ЛЕГО Звездные войныМикрофайтеры: Истребитель Сопротивления типа Y
LEGO City 60265 Конструктор ЛЕГО Город Океан: исследовательская база;https://www.toy.ru/catalog/gorod/lego_city_60265_konstruktor_lego_gorod_okean_issledovatelskaya_baza/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/e30/207_207_10240811ca8906714d1a9f41f2f5b358d/60265_boxprod.jpg;LEGO City 60265 Конструктор ЛЕГО Город Океан:исследовательская база
LEGO Ninjago 71705 Конструктор ЛЕГО Ниндзяго Летающий корабль Мастера Ву;https://www.toy.ru/catalog/nindzyago/lego_ninjago_71705_konstruktor_lego_nindzyago_letayushchiy_korabl_mastera_vu/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/b32/207_207_10240811ca8906714d1a9f41f2f5b358d/71705_boxprod.jpg;LEGO Ninjago 71705 Конструктор ЛЕГО Ниндзяго Летающий корабльМастера Ву
LEGO Mindstorms 51515 Конструктор ЛЕГО Майндстормс Робот-изобретатель;https://www.toy.ru/catalog/mayndstorms/lego_mindstorms_51515_konstruktor_lego_mayndstorms_robot_izobretatel/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/ace/207_207_10240811ca8906714d1a9f41f2f5b358d/51515_boxprod_v29.jpg;LEGO Mindstorms 51515 Конструктор ЛЕГО МайндстормсРобот-изобретатель
LEGO Creator 31118 Конструктор ЛЕГО Криэйтор Пляжный домик серферов;https://www.toy.ru/catalog/krieytor/lego_creator_31118_konstruktor_lego_krieytor_plyazhnyy_domik_serferov/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/6fe/207_207_10240811ca8906714d1a9f41f2f5b358d/31118.jpg;LEGO Creator 31118 Конструктор ЛЕГО Криэйтор Пляжный домиксерферов
LEGO Ninjago 71749 Конструктор ЛЕГО Ниндзяго Дар Судьбы: Решающая битва;https://www.toy.ru/catalog/nindzyago/lego_ninjago_71749_konstruktor_lego_nindzyago_dar_sudby_reshayushchaya_bitva/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/8e4/207_207_10240811ca8906714d1a9f41f2f5b358d/71749_3.jpg;LEGO Ninjago 71749 Конструктор ЛЕГО Ниндзяго Дар Судьбы:Решающая битва
LEGO BOOST 17101 Конструктор ЛЕГО Набор для конструирования и программирования;https://www.toy.ru/catalog/aktsiya_po_lego/lego_boost_17101_lego_nabor_dlya_konstruirovaniya_i_programmirovaniya/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/7ca/207_207_10240811ca8906714d1a9f41f2f5b358d/17101.jpg;LEGO BOOST 17101 Конструктор ЛЕГО Набор для конструирования ипрограммирования
LEGO DUPLO 10875 Конструктор ЛЕГО ДУПЛО Грузовой поезд;https://www.toy.ru/catalog/duplo/lego_duplo_10875_konstruktor_lego_duplo_gruzovoy_poezd/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/196/207_207_10240811ca8906714d1a9f41f2f5b358d/10875_2.jpg;LEGO DUPLO 10875 Конструктор ЛЕГО ДУПЛО Грузовой поезд
LEGO City 60198 Конструктор ЛЕГО Город Товарный поезд;https://www.toy.ru/catalog/gorod/lego_city_60198_konstruktor_lego_gorod_tovarnyy_poezd/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/546/207_207_10240811ca8906714d1a9f41f2f5b358d/60198_2.jpg;LEGO City 60198 Конструктор ЛЕГО Город Товарный поезд
LEGO DUPLO 10900 Конструктор ЛЕГО ДУПЛО Полицейский мотоцикл;https://www.toy.ru/catalog/duplo/lego_duplo_10900_konstruktor_lego_duplo_politseyskiy_mototsikl/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/162/207_207_10240811ca8906714d1a9f41f2f5b358d/10900_3.jpg;LEGO DUPLO 10900 Конструктор ЛЕГО ДУПЛО Полицейский мотоцикл
LEGO DUPLO 10901 Конструктор ЛЕГО ДУПЛО Пожарная машина;https://www.toy.ru/catalog/duplo/lego_duplo_10901_konstruktor_lego_duplo_pozharnaya_mashina/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/675/207_207_10240811ca8906714d1a9f41f2f5b358d/10901_3.jpg;LEGO DUPLO 10901 Конструктор ЛЕГО ДУПЛО Пожарная машина
LEGO City 60220 Конструктор ЛЕГО Город Транспорт: Мусоровоз;https://www.toy.ru/catalog/gorod/lego_city_60220_konstruktor_lego_gorod_transport_musorovoz/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/ea7/207_207_10240811ca8906714d1a9f41f2f5b358d/60220_3.jpg;LEGO City 60220 Конструктор ЛЕГО Город Транспорт: Мусоровоз
LEGO Creator 31088 Конструктор ЛЕГО Криэйтор Обитатели морских глубин;https://www.toy.ru/catalog/krieytor/lego_creator_31088_konstruktor_lego_krieytor_obitateli_morskikh_glubin/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/099/207_207_10240811ca8906714d1a9f41f2f5b358d/31088_10.jpg;LEGO Creator 31088 Конструктор ЛЕГО Криэйтор Обитатели морскихглубин
LEGO Juniors 10767 Конструктор ЛЕГО Джуниорс История игрушек-4: Трюковое шоу Дюка Бубумса;https://www.toy.ru/catalog/lego_juniors/lego_juniors_10767_konstruktor_lego_dzhuniors_istoriya_igrushek_4_tryukovoe_shou_dyuka_bubumsa/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/b90/207_207_10240811ca8906714d1a9f41f2f5b358d/1.jpg;LEGO Juniors 10767 Конструктор ЛЕГО Джуниорс Историяигрушек-4: Трюковое шоу Дюка Бубумса
LEGO City 60244 Конструктор ЛЕГО Город Полицейский вертолётный транспорт;https://www.toy.ru/catalog/gorod/lego_city_60244_konstruktor_lego_gorod_politseyskiy_vertolyetnyy_transport/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/639/207_207_10240811ca8906714d1a9f41f2f5b358d/60244_boxprod_v29.jpg;LEGO City 60244 Конструктор ЛЕГО Город Полицейский вертолётныйтранспорт
LEGO Classic 11010 Конструктор ЛЕГО Классик Белая базовая пластина;https://www.toy.ru/catalog/lego_classic/lego_classic_11010_konstruktor_lego_klassik_belaya_bazovaya_plastina/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/b1b/207_207_10240811ca8906714d1a9f41f2f5b358d/11010_boxprod_v29.jpg;LEGO Classic 11010 Конструктор ЛЕГО Классик Белая базоваяпластина
LEGO Technic 42102 Конструктор ЛЕГО Техник Mini CLAAS XERION;https://www.toy.ru/catalog/technic/lego_technic_42102_konstruktor_lego_tekhnik_mini_claas_xerion/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/eef/207_207_10240811ca8906714d1a9f41f2f5b358d/42102_boxprod_v29.jpg;LEGO Technic 42102 Конструктор ЛЕГО Техник Mini CLAAS XERION
LEGO City 60260 Конструктор ЛЕГО Город Airport Воздушная гонка;https://www.toy.ru/catalog/gorod/lego_city_60260_konstruktor_lego_gorod_airport_vozdushnaya_gonka/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/f3e/207_207_10240811ca8906714d1a9f41f2f5b358d/d76bddeea4a8feab236bb14af686588a.jpg;LEGO City 60260 Конструктор ЛЕГО Город Airport Воздушная гонка
LEGO City 60263 Конструктор ЛЕГО Город Океан: мини-подлодка;https://www.toy.ru/catalog/gorod/lego_city_60263_konstruktor_lego_gorod_okean_mini_podlodka/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/284/207_207_10240811ca8906714d1a9f41f2f5b358d/60263_boxprod.jpg;LEGO City 60263 Конструктор ЛЕГО Город Океан: мини-подлодка
LEGO City 60275 Конструктор ЛЕГО Город Полицейский вертолёт;https://www.toy.ru/catalog/gorod/lego_city_60275_konstruktor_lego_gorod_politseyskiy_vertolyet/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/0ce/207_207_10240811ca8906714d1a9f41f2f5b358d/60275_boxprod_v29.jpg;LEGO City 60275 Конструктор ЛЕГО Город Полицейский вертолёт
